 id     xcentroid      ...        flux                mag         
--- ------------------ ... ------------------ --------------------
  1 144.24756716358587 ... 5.7014303303763425   -1.889959554384849
  2  208.6690686281792 ...  6.723067304548727  -2.0689186474837555
  3 216.92613665510058 ... 1.6673746759096406  -0.5550830028638235
  4  351.6251903825918 ...  5.900925481473003   -1.927300325705523
  5  377.5199099575159 ... 1.1185620378076748 -0.12165018996937246
  6  294.2728404665307 ...  1.481937466581202  -0.4270746951883969
...                ... ...                ...                  ...
279 351.47953503917586 ...  1.064782433977081 -0.06815219461097338
280  345.5930648964343 ...   5.05590838442643  -1.7594979892842462
281 268.04923697897726 ...  6.220225875411731   -1.984515388842722
282 268.47506839211826 ... 6.0507916059280165  -1.9545304893571696
283   299.809438220211 ...  6.118534166627106  -1.9666184738297854
284 315.68944834269473 ...  5.554711077928254  -1.8616536863089206
285   360.437243036987 ...  5.265493213788077  -1.8035976434544232
Length = 285 rows
